Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ONC,BeiGene Ltd. American Depositary Shares,$228.14,-10.70,-4.48%,44248687,Cayman Islands,2016,575677,Health Care,Biotechnology: Pharmaceutical Preparations
OPRA,Opera Limited American Depositary Shares,$14.45,-0.40,-2.694%,36414830,Norway,2018,394209,Technology,Computer Software: Prepackaged Software
OTLY,Oatly Group AB American Depositary Shares,$8.57,-0.08,-0.925%,13122291,Sweden,2021,78411,Consumer Staples,Packaged Foods
PCLA,PicoCELA Inc. American Depositary Shares,$0.5395,0.0395,7.90%,3750040,Japan,2025,117546,Consumer Discretionary,Building Products
PDD,PDD Holdings Inc. American Depositary Shares,$92.35,-1.72,-1.828%,667927413,China,2018,11762185,Consumer Discretionary,Business Services
PHAR,Pharming Group N.V. ADS each representing 10 ordinary shares,$8.09,-0.07,-0.858%,726637,Netherlands,,2416,Health Care,Biotechnology: Pharmaceutical Preparations
PONY,Pony AI Inc. American Depositary Shares ,$4.69,-0.50,-9.634%,20000000,China,2024,2343202,Technology,EDP Services
PPBT,Purple Biotech Ltd. American Depositary Shares,$2.51,0.01,0.40%,2223188,Israel,2015,7888,Health Care,Biotechnology: Pharmaceutical Preparations
PRTC,PureTech Health plc American Depositary Shares,$16.75,0.0746,0.447%,576420,United States,,451,Health Care,Biotechnology: Pharmaceutical Preparations
PSNY,Polestar Automotive Holding UK PLC Class A ADS,$0.9778,-0.0522,-5.068%,376343268,Sweden,,1749840,Consumer Discretionary,Auto Manufacturing
PT,Pintec Technology Holdings Limited American Depositary Shares,$1.01,-0.02,-1.942%,6817991,China,2018,27162,Technology,Computer Software: Programming Data Processing
QFIN,Qifu Technology Inc. American Depositary Shares,$36.54,-2.23,-5.752%,127955526,China,2018,3585482,Finance,Finance: Consumer Services
QH,Quhuo Limited American Depository Shares,$1.39,0.02,1.46%,2719787,China,2020,1411,Consumer Discretionary,Business Services
QNRX,Quoin Pharmaceuticals Ltd. American Depositary Shares,$6.00,0.13,2.215%,588158,Israel,2016,79900,Health Care,Medical/Dental Instruments
QSG,QuantaSing Group Limited American Depositary Shares,$3.90,-0.36,-8.451%,24682910,China,2023,231784,Real Estate,Other Consumer Services
RADX,Radiopharm Theranostics Limited American Depositary Shares,$4.20,-0.0722,-1.69%,524735,Australia,,84093,,
RDHL,Redhill Biopharma Ltd. American Depositary Shares,$2.07,-0.065,-3.044%,1289983,Israel,,6303671,Health Care,Biotechnology: Pharmaceutical Preparations
RYAAY,Ryanair Holdings plc American Depositary Shares,$45.18,0.11,0.244%,228284349,Ireland,1997,1722392,Consumer Discretionary,Air Freight/Delivery Services
SCNI,Scinai Immunotherapeutics Ltd. American Depositary Shares,$1.92,0.00,0.00%,852944,Israel,2015,19367,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIFY,Sify Technologies Limited American Depositary Shares,$4.10,-0.13,-3.073%,11803003,India,,28518,Technology,Computer Software: Programming Data Processing
SIMO,Silicon Motion Technology Corporation American Depositary Shares,$39.84,-1.52,-3.675%,33625949,Taiwan,2005,495341,Technology,Semiconductors
SLN,Silence Therapeutics Plc American Depository Share,$2.90,0.10,3.571%,46989084,United Kingdom,,280786,Health Care,Biotechnology: Pharmaceutical Preparations
SNRE,Sunrise Communications AG American Depositary Shares representing Class A shares,$51.81,-0.05,-0.096%,29683978,Switzerland,,240620,Telecommunications,Cable & Other Pay Television Services
SNY,Sanofi ADS,$50.56,-0.04,-0.079%,287348212,France,,6232822,Health Care,Biotechnology: Pharmaceutical Preparations
